epoch,lr,train_loss,train_delta_mse,train_ee_mse,train_ee_dist,train_delta_abs,val_loss,val_delta_mse,val_ee_mse,val_ee_dist,val_delta_abs
1,0.0004995165484649266,0.1770690860179793,0.0009595085876532087,0.017610957963439096,0.1828035293381755,0.020143814791901773,0.9883414268493652,0.0005740824446547777,0.09877673685550689,0.5385500669479371,0.01714982483536005
2,0.000498068101822047,0.06824661947849418,0.0007564612146283054,0.006749015947130798,0.11821857495468203,0.016018493672316315,0.6273039221763611,0.0006757930532330647,0.06266281455755233,0.42708114385604856,0.020280042104423045
3,0.0004956603764285286,0.05511751936889496,0.000712695941935536,0.005440482243645091,0.10386987712954272,0.015199693663343162,0.9578336477279663,0.000615002607810311,0.09572187066078186,0.5319715738296509,0.018585150875151158
4,0.0004923028744765144,0.045958454728502185,0.00069913877851228,0.004525931571618098,0.1013183730865727,0.015003636573292628,0.6406890034675599,0.000653822923777625,0.06400351822376252,0.43208631277084353,0.019582919590175153
5,0.0004880088464923125,0.04513886505190064,0.0006758227216533753,0.004446304289764967,0.0900836704658861,0.014619443831699235,0.5458706140518188,0.0007585223414935171,0.05451120734214783,0.398932683467865,0.021532692201435565
6,0.0004827952390426215,0.03243404147880418,0.0006586853835434348,0.003177535647776823,0.08575103037497576,0.013868241116968022,0.7833552122116089,0.0007526345551013946,0.0782602608203888,0.48156251907348635,0.02120941486209631
7,0.0004766826278541747,0.026078586584004033,0.0006333393379341529,0.0025445247458356643,0.07288687907848038,0.013731947207839048,0.6796054840087891,0.0006548337667481973,0.06789506673812866,0.4501778483390808,0.0182881947606802
8,0.00046969513661074643,0.02394897539262511,0.0006180962380373991,0.002333087945443054,0.0723559151114035,0.013406909595267111,0.2962081789970398,0.0004607655791915022,0.029574741423130036,0.2968177556991577,0.014681178145110607
9,0.0004618603417479936,0.023184227655414773,0.0006147942069463996,0.002256943328705217,0.07050300921712603,0.013449162377842836,0.15848475694656372,0.0003299141913885251,0.01581548433750868,0.2073150873184204,0.01267334707081318
10,0.000453209163621862,0.022884677469479937,0.0005932823562125887,0.0022291395081473248,0.07389648527908727,0.013262897432476533,0.10772752687335015,0.0003402806731173769,0.010738724563270807,0.16494852006435395,0.012709190882742406
11,0.00044377574448006824,0.016272520654279143,0.000577224199386204,0.0015695296225975417,0.06239617102536835,0.013230002508694385,0.11665263548493385,0.00035955227504018693,0.011629308201372623,0.17033985257148743,0.013255822472274303
12,0.0004335973137182457,0.007112900569972371,0.0005627367043859881,0.0006550163824987762,0.04071668757736182,0.013230651710965052,0.11583495959639549,0.00038645566091872753,0.011544850142672657,0.15981567203998565,0.013820973597466946
13,0.0004227140409525286,0.010490349713055527,0.0005536380276757003,0.0009936711510267703,0.04574448139477177,0.013145051771352272,0.1362856462597847,0.00044622818240895866,0.01358394236303866,0.17252119779586791,0.014768130332231521
14,0.0004111688774884289,0.005629879115305904,0.0005371361279257518,0.0005092742894932691,0.03289863321648425,0.012465233444979712,0.15748231187462808,0.0005111936246976256,0.01569711184129119,0.18872073888778687,0.015676860883831977
15,0.0003990073868116559,0.0036686388267000683,0.0005255132182814306,0.0003143125644125858,0.026650708653971927,0.012407028171069482,0.1659637361764908,0.000556897686328739,0.016540683433413507,0.1948824018239975,0.016295867413282393
16,0.00038627756476985407,0.005721149778290957,0.0005244513625815167,0.0005196698456063491,0.0339179102237485,0.01251397266232667,0.17593827620148658,0.0006098470184952021,0.01753284353762865,0.2025504320859909,0.017003793269395828
17,0.00037302965015492017,0.004438253659598467,0.0005178102018202052,0.0003920443499844302,0.028213414668786425,0.01263433085175372,0.15529387965798377,0.0006693059578537941,0.015462457574903965,0.18641796410083772,0.017716595157980918
18,0.00035931592643344274,0.003813231600636319,0.0005131497411272575,0.00033000819267658125,0.02777235230290088,0.012635155314845698,0.161583561450243,0.0007275391370058059,0.0160856026224792,0.19109442532062532,0.018498240783810616
19,0.00034519051540774604,0.004517545489234333,0.0005132473693150995,0.00040042981116038533,0.030010389148437677,0.012533115958716689,0.1772410862147808,0.0008109014481306076,0.017643018811941146,0.20335420370101928,0.019586141407489776
20,0.00033070916362186204,0.0027272020732717855,0.0005049629857423206,0.0002222239103915655,0.02244432777667246,0.012375011057945109,0.17324007600545882,0.000870275916531682,0.017236979492008687,0.19917619228363037,0.020194210484623908
21,0.0003159290223553893,0.0028099401916588554,0.0005035137360477272,0.0002306426442159778,0.021776521531473688,0.012234953177325866,0.16761989369988442,0.0008902593399398029,0.01667296336963773,0.19511960744857787,0.020318492874503137
22,0.00030090842207350246,0.006455801286492027,0.0005073804863701191,0.0005948420771996357,0.03531527766535262,0.012379226149568538,0.18192821592092515,0.0009593261172994971,0.018096889182925225,0.20613996386528016,0.021124163642525673
23,0.0002857066422232545,0.00834370797750454,0.0005130037426177663,0.0007830704102574402,0.04091965721747955,0.012468273829700066,0.15694373324513436,0.0010002463590353728,0.015594349149614573,0.18718845248222352,0.02155500128865242
24,0.0002703836772846817,0.003889303920524461,0.0004946093333977032,0.00033946945566777924,0.027024286196512336,0.012330483723463131,0.15963315069675446,0.0010579010238870978,0.015857524890452623,0.18901670575141907,0.022140133380889892
25,0.0002549999999999999,0.0025365955035883086,0.0004897203781649846,0.0002046875107080574,0.021542027639616438,0.01216380309094401,0.17603563517332077,0.0010828255442902445,0.017495280876755715,0.2023458242416382,0.022266604378819464
26,0.00023961632271531812,0.002953829922705513,0.0004888781678506776,0.0002464951783224956,0.022334113231852276,0.01195904950634772,0.17581431791186333,0.0011470581637695431,0.017466726060956717,0.20161173045635222,0.022931250184774397
27,0.00022429335777674538,0.002514880948833057,0.00048734038332555474,0.00020275405557247019,0.02089960904431944,0.01198626307285383,0.15812310576438904,0.0011409374419599771,0.015698217321187258,0.18818367421627044,0.02276119142770767
28,0.00020909157792649738,0.002774051347543963,0.00048191871708298117,0.0002292132649782012,0.02271942695712342,0.0118394247764925,0.16727559939026831,0.001161893899552524,0.016611370351165534,0.19539462625980378,0.02291024662554264
29,0.0001940709776446105,0.0021583152183589816,0.000478970687132047,0.00016793445445559998,0.019566595992621255,0.011970076686507012,0.162371726334095,0.0011643458856269717,0.01612073788419366,0.19161880612373353,0.022819772735238074
