epoch,lr,train_loss,train_delta_mse,train_q_mse,train_ee_mse,train_terminal_ee_mse,train_ee_dist,train_terminal_ee_dist,train_delta_abs,train_q_abs,train_smooth,train_joint_limit,train_fk_consistency,train_goal,val_loss,val_delta_mse,val_q_mse,val_ee_mse,val_terminal_ee_mse,val_ee_dist,val_terminal_ee_dist,val_delta_abs,val_q_abs,val_smooth,val_joint_limit,val_fk_consistency,val_goal
1.0,0.0002998882102549048,0.13857997468987673,0.006008525568944061,0.03043397526171097,0.008381931307765385,0.011176906939074197,0.11672340197579684,0.13829048995893248,0.01855584409191098,0.07162858616444595,8.65230025442079e-05,5.100519539900205e-06,0.0,0.0,0.10371762624726846,0.005538480366835407,0.029752884017876707,0.005844703236451516,0.008284694770924174,0.0864703312745461,0.10068369560516797,0.015201001471051802,0.06100476976770621,3.164029701460654e-05,2.3267065068504696e-07,0.0,0.0
2.0,0.0002995530133913035,0.09025101538671582,0.005808701091790436,0.026123662124108056,0.005013557857604108,0.007080991139148819,0.07843464225954898,0.09601059641148688,0.01742016853031492,0.0646756545308348,3.799281857999865e-05,1.58369321335732e-06,0.0,0.0,0.08212780428047363,0.005286860881068815,0.02286611272308689,0.004670102164650766,0.006235093327883918,0.07157640943160423,0.0921370307298807,0.01594291911388819,0.05970425770832942,3.140035261122438e-05,7.398963743405933e-07,0.0,0.0
3.0,0.00029899492625846426,0.06551794379250092,0.005565933959919453,0.01906623522972845,0.003635710443303035,0.004686577828408754,0.06480660501232556,0.07589871457714491,0.016895297365051683,0.055571642304760256,3.719206010287544e-05,9.747009385013598e-06,0.0,0.0,0.10091888379878723,0.005443096870865422,0.02554605330985326,0.005517382791910607,0.009175660971892425,0.0777464311168744,0.09964023420443902,0.018159704810151688,0.0672188136440057,3.857235821040097e-05,9.85794625455364e-07,0.0,0.0
4.0,0.0002982148093862949,0.05740049900307896,0.005479270352368061,0.01682005864776787,0.003201913491052978,0.0038301269891544624,0.05934806232723698,0.06736747041723049,0.01658087973000941,0.05158402120014391,3.1869841839537055e-05,4.509763847864063e-06,0.0,0.0,0.10335080959046117,0.005490082882438751,0.028573537117515046,0.005646832387831707,0.009034885528604859,0.05553900069915332,0.07862924931141047,0.013881968122262221,0.05548746585845947,1.8657265514215955e-05,2.386059235617484e-06,0.0,0.0
5.0,0.00029721386565846836,0.05548512941085178,0.005463171255217221,0.01692871241563327,0.003049972786068402,0.00368541883227314,0.054486424636730736,0.06256840501601259,0.016111655676075934,0.05003787257800702,2.984626060794726e-05,6.241224554491911e-06,0.0,0.0,0.07751904404077392,0.00525195714316886,0.02124915791424708,0.004244822916359856,0.006397607276672855,0.059922717637740645,0.08134859550457735,0.017039849869906903,0.060907317996025084,2.777930552278681e-05,3.366065925424467e-06,0.0,0.0
6.0,0.000295993638457663,0.05052507293194521,0.005415665050019378,0.015217448533851282,0.002719509345452434,0.0034345162331591394,0.053083554063624444,0.0612150608845379,0.015998324457442776,0.04811059412513847,3.833423174124806e-05,6.2434607483494925e-06,0.0,0.0,0.08308564435619001,0.005229011205419038,0.01979778390735961,0.004473319136103293,0.0077409726742861005,0.06681579607037398,0.08297380533355933,0.01814320140160047,0.05891440075177413,3.031710267980368e-05,5.854953165046996e-06,0.0,0.0
7.0,0.00029455600928577876,0.04228953117230228,0.005324706264662272,0.013173494675322485,0.002197560337901122,0.002800288263422757,0.04828933462365837,0.05687668965000655,0.015677615623919724,0.04497566628698066,3.07943119651362e-05,3.4902364684354992e-06,0.0,0.0,0.05540481033233496,0.005044999669592541,0.01488475278378106,0.002873877565501831,0.004725687966789477,0.051445475747952094,0.06699868187308311,0.015504364563295474,0.04839100610751372,2.4197238929515992e-05,1.923058022138495e-05,0.0,0.0
8.0,0.0002929031948627972,0.04012429257177559,0.005288370893107137,0.013032982028410177,0.0020720253683365604,0.0025323932260450832,0.04468531239234562,0.05177985833511301,0.015636946301493062,0.04417354466766979,3.832659163931232e-05,4.049476615682756e-06,0.0,0.0,0.07048637891044983,0.005229828723128706,0.018888954911739208,0.003933489736742698,0.005491946358950092,0.05491484311910776,0.0717763157418141,0.015043020523511447,0.05010834586161834,2.5508510404436564e-05,2.963300897326984e-06,0.0,0.0
9.0,0.0002910377437087601,0.03885442604679541,0.005252201387537619,0.012806547225068462,0.0020151208188451423,0.0023483996455661202,0.04350253755585787,0.050229312551737106,0.015420732852007023,0.043398798359884076,4.3288596079505806e-05,1.8985483964826367e-05,0.0,0.0,0.07848109341298158,0.005324380350435744,0.020718257014388935,0.004378010008233384,0.006338772321424375,0.05445323453499721,0.07313709897490649,0.014305048057666192,0.049232812856252375,2.279118852759264e-05,1.4861258610484083e-06,0.0,0.0
10.0,0.00028896253221413645,0.04741934560799757,0.005341035668575724,0.01513030328069394,0.0024950079688842316,0.0031869599316094468,0.04675147152373588,0.05520567977847549,0.015279212213333133,0.04495329377730565,4.095810925907247e-05,7.5257653995787145e-06,0.0,0.0,0.09168785301825175,0.005281195795978419,0.021497602252504574,0.005332303641883369,0.007444292774912006,0.07109310363347714,0.08467744095967367,0.01746604255758799,0.06206160151041471,3.8706887246987135e-05,3.089812013787543e-07,0.0,0.0
