epoch,lr,train_loss,train_delta_mse,train_ee_mse,train_ee_dist,train_delta_abs,val_loss,val_delta_mse,val_ee_mse,val_ee_dist,val_delta_abs
1,0.00045320916362186214,0.1770690860179793,0.0009595085876532087,0.017610957963439096,0.1828035293381755,0.020143814791901773,0.9883414268493652,0.0005740824446547777,0.09877673685550689,0.5385500669479371,0.01714982483536005
2,0.00033070916362186215,0.06759619587609748,0.0007573883998121659,0.006683880737160935,0.11795374300299573,0.01600652130148491,0.6558005571365356,0.0006639248138526454,0.06551366299390793,0.4368638515472412,0.020087015628814698
3,0.0001792908363781379,0.05667074891824682,0.0007104020513899374,0.005596034669027734,0.10387989409080073,0.015194816060927735,0.7666291236877442,0.000627624912885949,0.07660014927387238,0.47466641664505005,0.01890158038586378
4,5.67908363781379e-05,0.04420119827660192,0.0007023170723446778,0.0043498881615134845,0.09678455460973147,0.01490752078091898,0.9653137922286987,0.0006280622037593275,0.09646857380867005,0.5332629680633545,0.01896704640239477
5,1e-05,0.039561015311159006,0.0006910338352176072,0.003886998205508317,0.08806881324208084,0.014888526230048733,0.7922406196594238,0.0006523162039229647,0.0791588306427002,0.4820298790931702,0.019460112042725086
