epoch,lr,train_loss,train_delta_mse,train_q_mse,train_ee_mse,train_terminal_ee_mse,train_ee_dist,train_terminal_ee_dist,train_delta_abs,train_q_abs,train_smooth,train_joint_limit,train_fk_consistency,train_goal,val_loss,val_delta_mse,val_q_mse,val_ee_mse,val_terminal_ee_mse,val_ee_dist,val_terminal_ee_dist,val_delta_abs,val_q_abs,val_smooth,val_joint_limit,val_fk_consistency,val_goal
1.0,0.00029992845125303107,0.1245668550460286,0.00580873349648985,0.027098704117765236,0.007550081558255448,0.009901358038641592,0.10902282440342446,0.12825305149810545,0.019128361684414567,0.07145685785219298,7.523252199598236e-05,5.902094417384616e-06,0.0,0.0,0.07085294447854527,0.005632065925756698,0.021274343721848173,0.0039032966246328425,0.005183023336910276,0.07268327196724102,0.08546006569608314,0.01685667111629956,0.05864518475489783,3.1884911986260885e-05,3.823251640923189e-06,0.0,0.0
2.0,0.00029971387562209936,0.06099576478651738,0.00544501068051367,0.017741265178539,0.003387311634734319,0.004268078552296539,0.06583671472621154,0.07791221976784171,0.01790882753914109,0.05819262983384818,4.967890165620133e-05,1.4262111028333512e-05,0.0,0.0,0.07371260894683847,0.005662514387800971,0.023033031485268664,0.004229027615572883,0.004747158769264313,0.06432230672875389,0.0721386831986611,0.01788125196700824,0.057699096091396986,3.407564617057195e-05,6.0369505527068e-06,0.0,0.0
3.0,0.00029935648486744657,0.04902739334558481,0.005281513045720189,0.014496362699630503,0.0026673281507085997,0.0032740612910719708,0.055844407221300005,0.06543980195522767,0.017075833051302954,0.05163526641743751,4.27395234186282e-05,4.829967411980398e-06,0.0,0.0,0.055652181276303454,0.005468095037754285,0.018503382600906886,0.003137607138520908,0.0031845401449200074,0.05781195686794207,0.06107582614497572,0.016768902381805735,0.05159492526569816,5.339522475297286e-05,1.651894326975463e-06,0.0,0.0
4.0,0.00029885663169059926,0.040225947572597474,0.005150382624550108,0.012583356682338105,0.002143121503688485,0.0024498071221728045,0.04815632242794346,0.05519009158759736,0.016410171901871617,0.0470870706784154,6.256308352408555e-05,6.093016670970944e-06,0.0,0.0,0.06197658460587263,0.005545075662264368,0.02041587559494369,0.003435156357257062,0.003956420515753619,0.05630680791972602,0.06550422732214459,0.01581324529490571,0.048815516209168755,5.350597974133738e-05,3.637410920695335e-06,0.0,0.0
5.0,0.0002982148093862949,0.03207550855229871,0.005027714127373087,0.010601190615339429,0.0016562554848616857,0.0017270788001348752,0.041229292161451554,0.046003221192254244,0.015628489550912256,0.04289234035975072,6.557586517635601e-05,6.457968319535761e-06,0.0,0.0,0.05792052184325093,0.0054958260251936975,0.019209606293875144,0.0032852834829696564,0.0033212339191076817,0.04996026230243142,0.05808200424567598,0.01624535163482804,0.04983445955440402,6.525854125364456e-05,4.595059431974025e-06,0.0,0.0
6.0,0.0002974316513556598,0.030966767516653376,0.00497978420536878,0.010349229237533841,0.001632232301601963,0.00149553711092111,0.04137849507988446,0.04477353385823096,0.015332645886844201,0.04178783662002529,6.658097787898536e-05,5.262175564571022e-06,0.0,0.0,0.041457512661181084,0.005352785150635696,0.016447259805422394,0.0021708310603154118,0.0020564838087607984,0.04014077789501333,0.044566053828438285,0.015656661756573338,0.045140698143723804,6.269610977052834e-05,1.0066484748632609e-05,0.0,0.0
7.0,0.0002965079304811183,0.028052637588815935,0.004935200684942802,0.009987236773716908,0.0014399452147762692,0.0012403008077783277,0.03771806329244411,0.04068874421522552,0.015035715947739442,0.04042091622066718,6.650757153443319e-05,6.941820949115882e-06,0.0,0.0,0.06225726315675334,0.005518052432210827,0.02173832415738601,0.0033867415442698267,0.00400020148599204,0.04857070537925255,0.059886100442438826,0.014754228618331864,0.04870522531421214,3.934400935622016e-05,3.002973436899066e-06,0.0,0.0
8.0,0.00029544455836365144,0.024820611049076808,0.004880930291651891,0.009616087937260836,0.0012200219035191572,0.0009760260108016982,0.03484809946516004,0.03751435735681226,0.014747597552051368,0.038986440319419974,6.378069426507206e-05,7.537959195847124e-06,0.0,0.0,0.06083581673141691,0.005522014624714712,0.02164227232579371,0.0032556306973450864,0.0039778784822806675,0.053936049090240336,0.06645209104830369,0.015422569122165442,0.05020798338943573,4.991912846964594e-05,1.1387864322068833e-05,0.0,0.0
9.0,0.0002942425844231567,0.029328081722946587,0.004945114195349398,0.010127371974177745,0.0014060180761443096,0.0017517770813340657,0.036323718710409014,0.04193474950620586,0.014778115838391946,0.03917111328209085,7.275671863950898e-05,6.579765712704485e-06,0.0,0.0,0.04607201615428613,0.005310694791846725,0.018112279476762985,0.0024705781595644035,0.002331835858266921,0.046222799549215154,0.051444870702250574,0.01553892256066081,0.04742705817410692,6.0313276140941077e-05,4.3823034346554216e-05,0.0,0.0
10.0,0.0002929031948627972,0.02168002378700438,0.004823403701573575,0.00855178662076833,0.0009835761681225561,0.0009136692025285198,0.03169973191449406,0.034551087571219725,0.014218395830246842,0.03621662018690359,7.63999667210172e-05,6.881845434431848e-06,0.0,0.0,0.03862742566957795,0.005139442835265013,0.015511793340771024,0.0020471724726762583,0.0017519558759140936,0.04766635524994526,0.05195402712026825,0.01396575137079678,0.04036375182512842,8.3303068848062e-05,1.6409139723386864e-05,0.0,0.0
